endpoint_instance_id,endpoint_instance_original_id,payload_type_id,mime_type_id,system,sequence
90c4bb53-94e6-50d5-821b-abde7f3c2183,OneMedicalEndpoint,NA,\N,http://hl7.org/fhir/us/davinci-pdex-plan-net/CodeSystem/EndpointPayloadTypeCS,0
67ce00c8-25b6-586d-b2e6-ff64bc247c06,ChirpProduction,any,\N,http://terminology.hl7.org/CodeSystem/endpoint-payload-type,0
10221a20-a289-56f0-bdfa-b524cefc3d50,idFA6NjJ01p.WnqGN2lfXufQ,urn:ihe:pcc:xphr:2007,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
a07ca937-ef78-5d78-ae0c-cb1dd4d7797a,endpoint-1,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
20dc88b0-8115-5ed9-b176-b5bc8d046e29,production,any,\N,http://hl7.org/fhir/endpoint-payload-type,0
cc7f1bda-9257-5290-8bd5-7b3d44b99f8b,test,any,\N,http://hl7.org/fhir/endpoint-payload-type,0
b25cdf4b-8f45-5b32-9e17-2a6624a30955,va8XWe7g7ObA5m7,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
fb8124aa-792a-58b3-af33-5a8e51d89a40,4nU5ahy6Z59fwDD,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
71047be0-5f08-535c-ac91-b39c20d3e33b,pbTtFK3B4AfOwvn,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
ec266397-a979-56c6-82a0-efa9478a2e90,4dUNPkUJ8KBMDEN,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
de701537-8031-5f97-91e5-adc1b0bcac25,aWyfjOwqKhOdrZL,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
fea8c015-2407-54e9-abc7-1d9be9eec906,DSSOGFs6fg36AyF,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
612b9cc2-583c-5b6f-902f-583c373955f1,6hORUNYQ96mMuTD,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
57d84f17-8e92-594d-b156-8afb4a793d2d,CaiF5CcD0DFsSFS,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
dd790542-36bf-57c9-bbff-f04b7125f4eb,ZyAEJ7NUGZ2CrNC,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
cb6ead38-9263-5f5d-8161-e00d955bb575,dSUiIIV69ZDD3Gu,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
d18f43ce-a2dd-5cb8-a7d0-268b35c8aca9,DUJaNatDyidClun,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
556f457f-57dc-585e-b3ef-571260a00d4a,4cNRqSNXgOPszGi,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
71b82868-3c84-5a59-ad7e-2e1c007faa0b,Bq63yIqvSaIblbH,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
09c05faa-8422-571f-b9c0-6372adeadd33,GnYNxhWxFCuAooB,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
6e371a0c-7753-556f-b929-98eb08d728dc,EWg3U31GGUhHudN,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
c00bba0f-604a-5566-bc38-596b8a257377,8T33hPbXnyZ1C7V,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
e11e915e-bcba-5bfd-ac9c-eb032e43b22c,9aZ33KuUfOwERuP,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
1bedb816-a9fe-5251-ad04-b55720604675,q9u34Oh8okhI4mz,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
651d26d2-0099-5995-a708-4263bffcf11d,pVnuyME0iFBerto,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
18e12241-a2d3-5907-8941-384ec582e91c,3EL85pFeOZFsTrJ,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
8781846f-e850-5c8c-9ab9-cb6d28abf130,tkTGWBJ7CerJ3UB,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
31bc31a2-ad9b-5664-a14d-323ea1b9784f,1iHYvJolAidKgfi,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
eaa33ca0-f4df-5838-91d5-10f93b029a98,rykWWH3VKVzKyvH,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
5f096e24-42e4-598b-8e0e-6c393892160b,o7m6QnjRWnl1sci,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
cdf04f2d-ae8d-5ff0-8d04-6a060ba89b93,GYgGDZv5Gk56r5b,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
bb07f81e-26e7-5492-978f-28cbec4603f7,cfgd4zbORUCDair,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
41f3f2b8-d10c-511f-a14f-bc75fe64342c,m4gjY5w2xKpWufs,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
1419ac51-070a-5e71-a58c-34a22ea7eb78,2QxjcEeMoyUlM5N,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
ba8ea0e5-9370-5a1e-85fd-a7ba3767bb3f,jFcpyJNx1mnWq5C,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
ec4120ef-1a35-5858-b726-d793cb5e995c,lOE6ctLpDbKembl,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
8821be36-2bc5-5f42-b7ed-8bbd7fbe6af6,APngDbzRZb52FLk,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
bca4be2d-f3a7-5461-93dc-4b5eeee1bb04,b2kx57mePYfmx4s,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
2f878739-9049-5b9f-8a4a-f72ba5dc604b,yBZQHLZOO2VS9Nj,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
185c64d7-e13c-589b-a4eb-c9e1a08de1f2,fIElNv5zA4G349E,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
760386b2-e1f9-5b18-9563-05a8d2378d8b,yepXVVne1rlXRMw,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
45edee54-681a-521c-9812-fc0b7da02ab3,JSaS7KgqQKxBcgj,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
5e3d2769-2821-50ac-a4f3-18c9a8af28c7,MHcBH8S0suPQcuY,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
457191ac-2a60-5e1d-ad1b-5dc58a46e5f1,LfDEmEFLxoL40sh,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
484b9021-bf02-5859-a5a9-bcff107e60a6,pvmAIxUyQhIU6V1,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
6cb96216-69ac-5ab7-a44d-25c16b51edb6,ZJ1lE9q2MxS5YoJ,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
e44f47c6-09b8-5fa6-a680-61b620236275,LBsucGjnnFNS7vY,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
bb6de8e3-7c8f-566b-8bdf-ab54c10b9dc9,rxHOP57qVrHbHpe,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
60ddbec9-d13d-59ab-bff0-8b5feb5464bc,VcrGJWIJlMhJGGW,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
94cb0690-3430-5f0b-a294-a095b75e4bce,fpQ2Lkjrxjr5Mfg,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
c9d5c6f5-1f95-584d-8017-6fc7a2b1f620,IYGCDoFlosgblRn,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
336aff5e-5d10-5ed4-b533-78fa7a1e91ab,y18QAElgv8zAdEf,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
61386354-2ec5-51af-a508-29dc35a3b0eb,RcOxWuumnYN9VTa,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
2261170c-658e-5ec3-b688-2174b918e4f8,z8F5Z735Zoznw1h,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
ce9bb196-9eda-520c-8bdf-ba798547bc25,cOJNPwWfIFzY2IF,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
9f5cda97-1ea7-5467-ace7-1c70406cf3a6,k962IQF4OqXSwYh,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
1311c01c-6e20-567c-8a5b-1b7fec19290c,PgARf2k7lI6jkxB,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
1ccead28-d0e3-58cd-8319-1a2824ec6e7b,IEPqpQpfhhioDTa,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
c377c706-d13b-592b-abf4-40d49414168b,7MsY6UaobIAA519,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
54163831-d529-5f0d-99c3-e6a563f0afac,WoeR3BtDieRJbfA,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
d7fba651-5ca4-5289-b060-72c87a12aa40,HnatpLnVGBisx21,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
f9748ea7-5a91-5477-9643-fcccee044c98,dxfkkEpAHmbbLF5,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
96ed6c69-dbc9-5b45-84d9-93cc4fa33ed9,96CyJx4elhgs6lx,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
b675dd43-e4c6-5c66-ba9a-0e2883dad79d,jbmHRYyEZgsTwjE,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
f1c96aa7-f09f-503c-a5ae-af8e3bf7ecbe,7D7VyQtHARCLRO2,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
dd3dc9d6-afa8-5853-bd92-45102ef1599f,JxlyUfCmZej5rzu,urn:hl7-org:sdwg:ccda-structuredBody:1.1,\N,http://ihe.net/fhir/ihe.formatcode.fhir/CodeSystem/formatcode,0
